order,season,episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance
1157,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1158,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1159,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1160,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1161,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1162,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1163,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1164,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1165,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1166,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1167,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1168,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1169,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1170,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1171,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1172,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1173,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1174,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1175,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1176,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1177,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1178,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1179,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1180,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1181,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1182,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1183,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1184,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1185,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1186,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1187,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1188,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1189,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1190,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1191,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1192,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1193,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1194,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1195,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1196,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1197,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1198,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1199,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1200,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1201,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1202,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1203,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1204,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1205,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1206,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1207,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1208,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1209,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1210,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1211,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1212,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1213,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1214,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1215,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1216,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1217,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1218,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1219,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1220,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1221,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1222,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1223,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1224,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1225,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1226,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1227,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1228,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1229,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1230,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1231,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1232,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1233,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1234,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Unknown,1
1235,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Smallfolk,1
1236,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Smallfolk,1
1237,6,10,Peasant,Cersei Lannister,Bell,Crushing,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Smallfolk,1
1238,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Smallfolk,1
1239,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,Smallfolk,1
1240,6,10,Tommen Baratheon,Tommen Baratheon,Falling,Falling,Committed suicide after seeing the Sept of Baelor blown up by wildfire,King’s Landing,"House Baratheon of King’s Landing, House Lannister",4
1241,6,10,Black Walder Rivers,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,House Frey,2
1242,6,10,Lothar Frey,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,House Frey,2
1243,6,10,Walder Frey,Arya Stark,Knife,Blade,Revenge for the Red Wedding,The Twins,House Frey,4
1244,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1245,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1246,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1247,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1248,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1249,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1250,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1251,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1252,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1253,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1254,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1255,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1256,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1257,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1258,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1259,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1260,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1261,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1262,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1263,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1264,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1265,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1266,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1267,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1268,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1269,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1270,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1271,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1272,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1273,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1274,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1275,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1276,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1277,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1278,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1279,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1280,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1281,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1282,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1283,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1284,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1285,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1286,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1287,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1288,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1289,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1290,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1291,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1292,7,1,Harald Karstark,Unknown,Unknown,Unknown,"Killed during Battle of the Bastards, but confirmed in season 7.",Winterfell,"House Karstark, House Bolton",2
1293,7,1,Sally,Sally's father,Knife,Blade,"Sally’s father killed her and then himself so they wouldn’t starve to death in the winter after being robbed by Sandor Clegane. Time of death unknown, but confirmed in season 7.",Riverlands,Smallfolk,2
1294,7,1,Sally’s father,Himself,Knife,Blade,"Sally’s father killed her and then himself so they wouldn’t starve to death in the winter after being robbed by Sandor Clegane. Time of death unknown, but confirmed in season 7.",Riverlands,Smallfolk,2
1295,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Gangplank,Crushing,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1296,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1297,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1298,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1299,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1300,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1301,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1302,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1303,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1304,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1305,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1306,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Spiked knuckles,Bludgeon,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1307,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1308,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1309,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1310,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1311,7,2,Greyjoy (Euron-aligned) soldier,Tyene Sand,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1312,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1313,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1314,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1315,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Flaming missile,Fire/Burning,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
1316,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Euron-aligned),1
1317,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,House Greyjoy (Yara-aligned),1
